Summary File,Negative,Neutral,Positive,Compound
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Lifehacker\Lifehacker_How to Join Threads, Meta_s New Twitter Alternative (and Why You Might Want to Wait)_summary.txt",0.013,0.864,0.122,0.9348
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\MEN\MEN_S JOURNAL_A Beginner_s Guide to Threads, Instagramíªs _Twitter Killer__summary.txt",0.0,0.892,0.108,0.9428
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\MEN\MEN_S JOURNAL_Elon Musk and Mark Zuckerberg Could End Up Throwing Down at the Colosseum_summary.txt,0.113,0.887,0.0,-0.8047
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\MEN\MEN_S JOURNAL_Elon Musk Challenged Mark Zuckerberg to a Cage Match and Zuck Accepted- _Send Me Location__summary.txt,0.052,0.919,0.03,-0.5002
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\MEN\MEN_S JOURNAL_Elon Musk Could Face Lawsuits as Meta, Microsoft, and Others Own Rights to Twitter_s New Name_summary.txt",0.041,0.893,0.066,0.4877
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\MEN\MEN_S JOURNAL_Elon Musk Renames Twitter to _X_ With a Head-Scratching New Icon_summary.txt,0.017,0.906,0.077,0.7845
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\MEN\MEN_S JOURNAL_Elon Musk Wants to Enlist Georges St-Pierre as Trainer for His Cage Match With Mark Zuckerberg_summary.txt,0.047,0.887,0.066,0.1487
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\MEN\MEN_S JOURNAL_Mark Zuckerberg Training With UFC Stars and Looking Jacked Ahead of Elon Musk Fight_summary.txt,0.023,0.883,0.094,0.8873
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\MEN\MEN_S JOURNAL_Twitter Traffic Is Already _Tanking_ as Meta_s Threads Gains 100 Million Users_summary.txt,0.013,0.94,0.046,0.4398
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Metro\bored-of-threads_summary.txt,0.04,0.932,0.028,-0.5859
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Metro\famous-blue-bird-killed-by-musk_summary.txt,0.022,0.969,0.008,-0.4939
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Metro\marks-unveils-new-ventue_summary.txt,0.022,0.929,0.048,0.5994
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Metro\musk-losing-money-on-44billion-twitter_summary.txt,0.098,0.845,0.057,-0.3804
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Metro\ramp-up-followers-on-threads_summary.txt,0.0,0.95,0.05,0.6306
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Metro\threads-sets-new-record_summary.txt,0.052,0.886,0.062,0.1027
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Metro\twitter-killer-gain-millions-of-followers_summary.txt,0.009,0.901,0.091,0.8625
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Metro\twitter-should-be-worried_summary.txt,0.061,0.865,0.074,0.2274
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Metro\twitter-threatens-to-sue-meta_summary.txt,0.069,0.848,0.083,0.25
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\Metro\zuckerberg-vs-musk_summary.txt,0.051,0.914,0.035,-0.1396
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\NY\The New Yorker_Metaíªs Threads Is More of the Same Social Networking_summary.txt,0.046,0.83,0.125,0.9429
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\NY\The New Yorker_Top Features of Metaíªs Threads App_summary.txt,0.117,0.778,0.105,-0.34
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\People\People_Elon Musk Announces Twitter Logo Change, Plans to _Bid Adieu_ to _All The Birds__summary.txt",0.0,0.892,0.108,0.9633
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\People\People_Here_s what to know about Threads, Mark Zuckerberg_s latest social media platform that rivals Twitter_summary.txt",0.013,0.907,0.079,0.8402
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\People\People_Twitter Threatens to Sue Meta Over Threads_summary.txt,0.059,0.868,0.073,0.5106
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\TIME\TIME_As Twitter Threatens Legal Action, Here_s How Meta_s New Platform Threads Compares_summary.txt",0.0,0.952,0.048,0.7184
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Lifestyle\TIME\TIME_Why Twitter Rival Threads Isníªt Available in the E.U._summary.txt,0.011,0.941,0.048,0.7506
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\CNET\everything-about-twitters-rival_summary.txt,0.048,0.828,0.124,0.8957
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\CNET\gets-to-grips-with-twitter-rival_summary.txt,0.013,0.911,0.076,0.8658
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\CNET\meta-teases-twitter_summary.txt,0.019,0.873,0.108,0.959
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\CNET\threads-add-foloowing-to-tab_summary.txt,0.01,0.904,0.085,0.8955
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\CNET\threads-faces-legal-threat_summary.txt,0.12,0.847,0.033,-0.9516
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\CNET\threads-keep-growing_summary.txt,0.0,0.949,0.051,0.6249
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\CNET\tittok-taking-spin-on-posts_summary.txt,0.0,0.947,0.053,0.7935
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\CNET\twitter-fixing-mistakes_summary.txt,0.032,0.915,0.053,0.296
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\CNET\why-you-shouldnt-sign-up-for-threads_summary.txt,0.091,0.879,0.031,-0.6807
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\CNET\wont-go-back-statement-about-threads_summary.txt,0.08,0.776,0.144,0.8987
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Digit\Digit_Are Elon Musk_s Twitter mistakes responsible for Threads success_summary.txt,0.051,0.885,0.064,0.1779
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Digit\Digit_Instagram clones Elon_s app with Meta_s social media might Is Twitter in danger_summary.txt,0.017,0.856,0.127,0.9109
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Digit\Digit_Instagram Threads download link goes live Could this threaten Twitter_summary.txt,0.0,0.971,0.029,0.34
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Digit\Digit_Threads is different from Twitter and that is both a good and bad thing_summary.txt,0.038,0.903,0.059,0.3182
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Digit\Digit_Twitter vs Threads 5 cool Twitter features that Threads still doesníªt have_summary.txt,0.061,0.881,0.058,-0.09
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\PCMag\PCMag_Hands On With Threads Does Meta_s Twitter Killer Deliver_summary.txt,0.0,0.946,0.054,0.7717
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\PCMag\PCMag_Like Twitter, Threads Enforces Rate Limits to Fight Spammers_summary.txt",0.12,0.837,0.044,-0.9191
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\PCMag\PCMag_Traffic to Twitter Alternative Threads Drops by Half_summary.txt,0.009,0.836,0.155,0.9701
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\PCMag\PCMag_Twitter Threatens to Sue Meta Over Alleged Trade Secret Theft With Threads_summary.txt,0.094,0.874,0.032,-0.8225
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\PCMag\PCMag_Yikes Threads User Traffic Falls 74_ From Initial High_summary.txt,0.021,0.914,0.065,0.5994
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\TechCrunch\TC_Apple removes AI-powered content generator impersonating Metaíªs Threads app after it appeared in top charts_summary.txt,0.0,0.928,0.072,0.7391
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\TechCrunch\TC_House Republicans probe Threads in ongoing social media investigation_summary.txt,0.093,0.828,0.08,-0.2732
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\TechCrunch\TC_Instagram Threads now has one-fifth the weekly active user base of Twitter_summary.txt,0.013,0.853,0.134,0.9705
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\TechCrunch\TC_Mark Zuckerberg touts Threads is seeing íÑtens of millionsíª people return to the app daily_summary.txt,0.0,0.895,0.105,0.9604
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\TechCrunch\TC_Meta confirms it is blocking EU-based users from accessing Threads via VPN_summary.txt,0.074,0.858,0.068,-0.2732
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\TechCrunch\TC_The Los AngelesíVbased startup is launching its first game on Threads this fall_summary.txt,0.0,0.928,0.072,0.9144
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\TechCrunch\TC_The spam bots have now found Threads, as company announces its own íÑrate limitsíª_summary.txt",0.083,0.85,0.067,-0.483
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\TechCrunch\TC_Threads a Slack alternative completely unrelated to Instagram sees downloads surge_summary.txt,0.026,0.921,0.052,0.5279
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\TechCrunch\TC_Threads in decline Doníªt count out Instagramíªs new Twitter rival yet_summary.txt,0.032,0.854,0.115,0.9451
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\TechCrunch\TC_Threads update adds translation and a flurry of minor improvements_summary.txt,0.019,0.898,0.082,0.765
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\The Verge\The Verge_Five reasons Threads could still go the distance_summary.txt,0.027,0.871,0.102,0.8948
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\The Verge\The Verge_Hereíªs why Threads is delayed in Europe_summary.txt,0.061,0.863,0.077,0.596
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\The Verge\The Verge_Instagramíªs Threads surpasses 100 million users_summary.txt,0.007,0.948,0.045,0.6124
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\The Verge\The Verge_Instagramíªs Twitter competitor, Threads, is available now_summary.txt",0.016,0.904,0.08,0.9062
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\The Verge\The Verge_Just call them tweets_summary.txt,0.0,0.926,0.074,0.7184
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\The Verge\The Verge_The latest Threads update adds a íÑfollowsíª tab, but it doesníªt do what youíªd like_summary.txt",0.0,0.96,0.04,0.4939
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\The Verge\The Verge_Threads is rolling out its Following feed_summary.txt,0.0,0.975,0.025,0.4588
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\The Verge\The Verge_Threads isníªt for news and politics, says Instagramíªs boss_summary.txt",0.019,0.886,0.095,0.9226
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\The Verge\The Verge_Why Instagram is taking on Twitter with Threads_summary.txt,0.011,0.813,0.176,0.9909
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\The Verge\The Verge_You caníªt just leave Threads in the Following feed_summary.txt,0.051,0.938,0.011,-0.7461
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_6 Threads App Settings Worth Trying Out_summary.txt,0.058,0.924,0.018,-0.6956
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_After Threads, There Has to Be a íÑNew Twitteríª Moratorium_summary.txt",0.085,0.802,0.113,0.461
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_Don_t Join ThreadsíXMake Threads Join You_summary.txt,0.121,0.783,0.096,-0.8589
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_How Threads Could Kill Twitter_summary.txt,0.11,0.782,0.107,-0.1856
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_How Threadsíª Privacy Policy Compares to Twitteríªs (and Its Rivalsíª)_summary.txt,0.0,0.938,0.062,0.9468
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_How to Find Your Twitter Friends on Threads_summary.txt,0.0,0.907,0.093,0.9442
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_Metaíªs Threads Could MakeíXor BreakíXthe Fediverse_summary.txt,0.053,0.892,0.056,-0.3523
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_Threads Is the Latest Move in the AI Arms Race_summary.txt,0.018,0.915,0.068,0.8591
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_Threads Is the New Cool HangoutíXfor Brands_summary.txt,0.085,0.831,0.084,-0.0344
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_Threads may be a íÑcopycat,íª but can Eloníªs Twitter kill it_summary.txt",0.075,0.887,0.038,-0.6369
